cliente_id,pasaporte_cliente,nombre_cliente,nacionalidad_cliente,fecha_nacimiento_cliente
0,V03976673,Mark Greene,Chilena,09-12-1998
1,I07581924,Kelsey Powell,Francesa,10-07-1989
2,N07672370,Kevin Wilson,Uruguaya,11-09-1986
3,F15206543,Kristen Harris,Chilena,25-11-1972
4,I19062847,Christopher Garcia,Chilena,06-12-1986
5,P34583903,Kelsey Huff,Estadounidense,08-08-1972
6,L56496275,Cheryl Bolton,Uruguaya,16-12-1972
7,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
8,X66304032,Victoria Odom,Francesa,04-12-1986
9,C87025090,Diana Frank,Alemana,07-12-1979
10,X84322989,Mr. Russell Abbott,Chilena,16-11-1984
11,G15489494,Anthony Francis,Argentina,13-02-1988
12,J46610530,Andrew Torres,Alemana,01-12-1981
13,L87663260,Heather Bolton,Estadounidense,17-09-1982
14,U37349664,Diane Ritter,Venezolana,05-05-1996
15,W06120402,Adam Clark,Estadounidense,10-06-1993
16,J86333952,Leslie Howard,Venezolana,22-09-1971
17,J34719947,Heather Scott,Estadounidense,02-05-1973
18,R17782317,Zachary Davenport,Venezolana,29-12-1971
19,M25657749,Casey Bennett,Estadounidense,12-03-1984
20,T33834498,Alejandro Allen,Chilena,20-05-1992
21,D76513142,Victoria Brennan,Uruguaya,19-06-1977
22,V79731274,Corey Elliott,Venezolana,04-10-1979
23,E44895667,Angela Reynolds,Estadounidense,09-08-1982
24,N49905893,Emma Scott,Chilena,29-07-1989
25,K07643594,Suzanne Goodman,Chilena,16-11-1987
26,P11550487,Maria Perez,Francesa,11-08-1996
27,J39937043,Danielle Johnson,Mexicana,18-12-1981
28,G04408945,Robert Butler,Argentina,02-02-1974
29,N15841852,John Mcneil,Chilena,15-06-1981
30,O01507856,James Hunter,Chilena,14-05-1995
31,O41678476,Andrew Malone,Argentina,24-06-1996
32,X49704522,James Rojas,Chilena,29-05-1986
33,L94336722,Julia Watkins,Uruguaya,25-08-1995
34,F70729457,Justin Hudson,Chilena,12-02-1994
35,D84069297,Brittany Jones,Uruguaya,30-04-1978
36,V39868007,Cassandra Kirby,Chilena,02-04-1997
37,Y33413387,Kimberly Hansen,Argentina,02-07-1989
38,O04335063,Jonathan Sims,Estadounidense,13-04-1974
39,U68917595,Paul Brown,Francesa,24-08-1987
40,D64763364,James Johnson,Chilena,09-06-1994
41,J46009647,Erica Ochoa,Italiana,11-03-1994
42,Z09262256,Joseph Wilson,Uruguaya,28-07-1993
43,Y23187711,Vicki Ward,Argentina,31-08-1981
44,Y05451726,Kathleen Johnson,Chilena,24-02-1973
45,I63697476,Emily Sullivan,Venezolana,25-07-1991
46,N47846939,John Lee,Italiana,25-01-1996
47,F69466449,Jennifer Eaton,Chilena,29-08-1995
48,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
49,J33947155,Amanda Mccarthy,Venezolana,25-08-1995
50,R10584802,John Luna,Chilena,04-11-1983
51,J47009281,Susan Stewart MD,Estadounidense,08-02-1997
52,H44001820,Ann Robertson,Venezolana,27-04-1998
53,D39176940,Patrick Choi,Chilena,26-06-1985
54,T72132858,Kathy Luna,Chilena,13-07-1990
55,C63211080,Brian Mitchell,Chilena,04-05-1983
56,D46250570,Michael Mcdaniel,Venezolana,04-11-1994
57,Q62966391,Patricia Parker,Mexicana,07-08-1994
58,N68461604,Gary Vasquez,Chilena,21-11-1984
59,L97895867,Sarah Williams,Uruguaya,06-11-1992
60,T59160871,Lucas Jones,Uruguaya,02-03-1992
61,Y88079794,Gregory Bradley,Chilena,18-04-1986
62,Y13424296,Katherine Perez,Mexicana,29-07-1978
63,T18212951,Joel Compton,Argentina,03-03-1991
64,O85238546,Sheri Mcdonald,Argentina,14-03-1984
65,A40223024,Janice Smith,Argentina,25-03-1993
66,N24258653,Kayla Douglas,Uruguaya,28-04-1970
67,F23633774,Amanda Ruiz,Francesa,09-07-1977
68,F89276118,Todd Wilkins,Italiana,30-01-1991
69,Z87364523,Samantha Martin,Alemana,26-03-1981
70,F09235820,Katrina Frye,Chilena,11-10-1995
71,R56995721,David Keller,Venezolana,24-07-1975
72,Q76465555,Isaiah Wood,Francesa,05-11-1980
73,Z51226931,Matthew Simmons,Chilena,18-05-1978
74,J76795477,Mikayla White,Argentina,30-09-1984
75,D99418548,Alexis Smith,Argentina,21-03-1997
76,B30315997,Tina Shaw,Estadounidense,26-10-1996
77,N55362278,Laura Marshall,Chilena,19-05-1991
78,C59429415,Brian Garcia,Chilena,20-04-1992
79,P84627985,Meghan Davis,Chilena,15-11-1970
80,S05106445,Gregory Andrade,Mexicana,20-12-1984
81,I71394677,Jessica Macias,Chilena,12-04-1986
82,G69357980,Jerry Park,Argentina,28-06-1980
83,Y38354449,Nicole Petty,Estadounidense,07-02-1988
84,W23173820,Gabrielle Alvarez,Argentina,04-11-1992
85,I78807927,Robert Kelly,Chilena,26-02-1975
86,A17367163,Jane Berger,Italiana,29-05-1987
87,G96421276,Alexander Martin,Estadounidense,24-04-1980
88,S03830222,Amanda Andrade,Italiana,06-11-1993
89,X91486662,Heather Smith,Chilena,13-11-1976
